#Measurement:		CV
#Sensor type:		CALICE_6in_256ch
#Needle measurement:	0
#Identifier:		CSIS001_IVSample_20250521_0
#Timestamp:		21.5.2025 12:46 
#Voltage delay:		20.0 s
#Switch delay:		0.3 s
#Compliance level:		2000.00 uA
#Mask pads above:		5.00 uA
#Voltage limit:		100.0 V
#LCR freq.:		2000 Hz
#LCR voltg.:		0.50 V
#Repeat:			1
#Sampling number:		3
#Source as DMM:		0
#Custom channels:		19,104,136,157,242
#Masked channels:		None
#Vltg. sign inversion?:	1
#VISA source:		GPIB0::18::INSTR
#VISA DMM:		GPIB0::25::INSTR
#VISA LCR:		GPIB0::17::INSTR
#HexPlot cmd:		C:\Users\calice\Desktop\ProbeStation\HGCAL_sensor_tests-CALICE_6in_256ch\bin\HexPlot.exe -i "D:\ProbeStationData\CALICE_6in_256ch_CSIS001_IVSample_20250521_0\CALICE_6in_256ch_CSIS001_IVSample_20250521_0_CV_customscan.txt" -o  "D:\ProbeStationData\CALICE_6in_256ch_CSIS001_IVSample_20250521_0\CALICE_6in_256ch_CSIS001_IVSample_20250521_0_CV_customscan.pdf" --CV  --select 200  --if SELECTOR:PADNUM:VAL  --pn 0 --invertx -g "C:\Users\calice\Documents\HGCAL_sensor_tests-CALICE_6in_256ch\src\..\geo\hex_positions_HPK_256ch_6inch_CALICE.txt" --colorpalette 1
#HexPlot analysis cmd:	C:\Users\calice\Desktop\ProbeStation\HGCAL_sensor_tests-CALICE_6in_256ch\bin\HexPlot.exe -i "D:\ProbeStationData\CALICE_6in_256ch_CSIS001_IVSample_20250521_0\CALICE_6in_256ch_CSIS001_IVSample_20250521_0_CV_customscan.txt" -o  "D:\ProbeStationData\CALICE_6in_256ch_CSIS001_IVSample_20250521_0\CALICE_6in_256ch_CSIS001_IVSample_20250521_0_CV_customscan_analysis.pdf" --CV  --select 200  --if SELECTOR:PADNUM:VAL -p PAD --sc 1-19--invertx -g "C:\Users\calice\Documents\HGCAL_sensor_tests-CALICE_6in_256ch\src\..\geo\hex_positions_HPK_256ch_6inch_CALICE.txt" --colorpalette 1
#HexPlot on matrix cmd:	C:\Users\calice\Desktop\ProbeStation\HGCAL_sensor_tests-CALICE_6in_256ch\bin\HexPlot.exe -i "D:\ProbeStationData\CALICE_6in_256ch_CSIS001_IVSample_20250521_0\CALICE_6in_256ch_CSIS001_IVSample_20250521_0_CV_customscan.txt" -o  "D:\ProbeStationData\CALICE_6in_256ch_CSIS001_IVSample_20250521_0\CALICE_6in_256ch_CSIS001_IVSample_20250521_0_CV_customscan.pdf" --CV  --select 200  --if SELECTOR:PADNUM:VAL  --pn 0 --invertx -g "C:\Users\calice\Documents\HGCAL_sensor_tests-CALICE_6in_256ch\geo\switch_matrix.txt" -m "C:\Users\calice\Documents\HGCAL_sensor_tests-CALICE_6in_256ch\src\..\maps\Probe_card_CALICE_6in_256ch.txt"  --colorpalette 1
#Voltage file:		C:\Users\calice\Desktop\ProbeStation\SensorTest_CALICE_6in_256ch\HGCAL_sensor_tests-CALICE_6in_256ch\config\Voltages_20250214.txt
#CV correction file:		None
#Comments:		CSIS 001 IV  CV sample channels

#Voltage	#Channel	#Cs        	#Error     	#Tot. curr.	#Act. vlt.	#Time 	#Temp	#Hum.	#Cp        	#Error     	#Impedance 	#Error     	#Phase      	#Error     	#Cs uncorr.	#Cp uncorr.
#[V]    	#       	#[pF]      	#[pF]      	#[nA]      	#[V]      	#[s]  	#[C] 	#[%] 	#[pF]      	#[pF]      	#[Ohm]     	#[Ohm]     	#[Rad]      	#[Rad]     	#[pF]      	#[pF]      
20.0    	19      	9.472006E+0	1.170709E-3	2.64E+1    	20.00     	150.21	23.2 	38.2 	9.488468E+0	1.390340E-6	7.931307E+6	9.287806E+2	-1.576770E+0	8.888194E-5	1.003352E+1	1.003316E+1
20.0    	104     	8.597969E+0	1.095081E-3	2.24E+1    	20.00     	152.73	23.2 	38.2 	8.614082E+0	1.180001E-6	8.688327E+6	1.034666E+3	-1.579583E+0	5.507571E-5	9.159479E+0	9.158772E+0
20.0    	136     	8.749993E+0	9.851886E-4	2.22E+1    	20.00     	155.29	23.2 	38.2 	8.766160E+0	9.314898E-7	8.546447E+6	8.951164E+2	-1.579170E+0	1.410674E-4	9.311503E+0	9.310850E+0
20.0    	157     	8.654076E+0	1.773567E-2	2.21E+1    	20.00     	157.88	23.2 	38.2 	8.670151E+0	3.152864E-4	8.635467E+6	1.664806E+4	-1.579787E+0	1.331666E-4	9.215586E+0	9.214841E+0
20.0    	242     	9.268403E+0	1.977285E-3	2.22E+1    	20.00     	160.48	23.2 	38.2 	9.284859E+0	3.878255E-6	8.095590E+6	1.625300E+3	-1.576883E+0	9.018500E-5	9.829913E+0	9.829549E+0
25.0    	19      	8.541137E+0	6.401276E-4	2.93E+1    	25.00     	192.27	23.2 	38.2 	8.557355E+0	3.977745E-7	8.742523E+6	6.102732E+2	-1.578930E+0	7.000000E-5	9.102647E+0	9.102045E+0
25.0    	104     	7.698873E+0	9.236302E-4	1.04E+1    	25.00     	194.64	23.2 	38.2 	7.714658E+0	8.523647E-7	9.634233E+6	1.077141E+3	-1.581987E+0	4.041452E-5	8.260383E+0	8.259348E+0
25.0    	136     	7.809123E+0	1.577595E-3	2.20E+0    	25.00     	197.22	23.2 	38.2 	7.824895E+0	2.545089E-6	9.507340E+6	1.802193E+3	-1.581987E+0	1.106044E-4	8.370633E+0	8.369585E+0
25.0    	157     	7.773578E+0	1.883357E-3	8.84E-1    	25.00     	199.77	23.2 	38.2 	7.789211E+0	3.004991E-6	9.547967E+6	2.071336E+3	-1.582713E+0	7.784814E-4	8.335088E+0	8.333901E+0
25.0    	242     	8.372807E+0	1.445306E-3	8.88E-1    	25.00     	202.35	23.2 	38.2 	8.389022E+0	2.151545E-6	8.907247E+6	1.451562E+3	-1.579023E+0	2.000833E-4	8.934317E+0	8.933712E+0
30.0    	19      	7.856257E+0	2.240623E-3	3.17E+3    	30.01     	234.83	23.2 	38.2 	7.872240E+0	4.977336E-6	9.453983E+6	2.511122E+3	-1.580767E+0	6.350853E-5	8.417767E+0	8.416930E+0
30.0    	104     	7.039222E+0	8.408809E-4	1.53E+1    	30.01     	237.60	23.2 	38.2 	7.054655E+0	7.082105E-7	1.047067E+7	1.159023E+3	-1.584303E+0	2.081666E-5	7.600732E+0	7.599345E+0
30.0    	136     	7.127828E+0	2.170676E-3	2.68E+0    	30.01     	240.17	23.2 	38.2 	7.143312E+0	4.496434E-6	1.034997E+7	2.888483E+3	-1.583973E+0	3.516153E-4	7.689338E+0	7.688002E+0
30.0    	157     	7.129540E+0	2.367949E-2	1.36E+0    	30.01     	242.78	23.2 	38.2 	7.144865E+0	5.495132E-4	1.034783E+7	3.164654E+4	-1.584713E+0	1.068004E-3	7.691050E+0	7.689555E+0
30.0    	242     	7.713034E+0	1.844544E-3	1.38E+0    	30.01     	245.38	23.2 	38.2 	7.728999E+0	3.338256E-6	9.617640E+6	2.133612E+3	-1.580960E+0	2.022375E-4	8.274544E+0	8.273689E+0
35.0    	19      	7.341236E+0	1.289171E-4	3.38E+1    	35.00     	277.84	23.2 	38.2 	7.357006E+0	1.269902E-8	1.007027E+7	1.527525E+2	-1.582323E+0	1.877054E-4	7.902746E+0	7.901696E+0
35.0    	104     	6.539705E+0	1.886318E-4	1.15E+1    	35.00     	280.30	23.2 	38.2 	6.554806E+0	3.938958E-8	1.120753E+7	3.055050E+2	-1.586357E+0	4.509250E-5	7.101215E+0	7.099496E+0
35.0    	136     	6.607555E+0	1.486250E-3	3.11E+0    	35.00     	282.88	23.2 	38.2 	6.622721E+0	2.168490E-6	1.110140E+7	2.291288E+3	-1.585987E+0	8.082904E-5	7.169065E+0	7.167411E+0
35.0    	157     	6.619677E+0	6.434476E-3	1.76E+0    	35.00     	285.43	23.2 	38.2 	6.635530E+0	4.470677E-5	1.108213E+7	1.011056E+4	-1.582053E+0	3.470394E-3	7.181187E+0	7.180220E+0
35.0    	242     	7.215300E+0	1.561625E-3	1.67E+0    	35.00     	288.02	23.2 	38.2 	7.230999E+0	2.378710E-6	1.023340E+7	2.042058E+3	-1.582800E+0	2.042058E-4	7.776810E+0	7.775689E+0
40.0    	19      	6.959671E+0	8.376678E-4	3.64E+3    	40.00     	320.49	23.2 	38.2 	6.975234E+0	6.757215E-7	1.058133E+7	1.167619E+3	-1.583723E+0	8.020806E-5	7.521181E+0	7.519924E+0
40.0    	104     	6.159942E+0	8.086392E-4	1.78E+1    	40.00     	322.93	23.2 	38.2 	6.174788E+0	6.373182E-7	1.184107E+7	1.415392E+3	-1.587933E+0	1.692139E-4	6.721452E+0	6.719478E+0
40.0    	136     	6.207474E+0	8.136694E-4	1.27E+1    	40.00     	325.50	23.2 	38.2 	6.222404E+0	7.481289E-7	1.175783E+7	1.457166E+3	-1.587507E+0	3.407834E-4	6.768984E+0	6.767094E+0
40.0    	157     	6.244519E+0	7.049249E-3	1.08E+1    	40.00     	328.11	23.2 	38.2 	6.259490E+0	5.005323E-5	1.169380E+7	1.212807E+4	-1.587280E+0	1.352775E-4	6.806029E+0	6.804180E+0
40.0    	242     	6.844014E+0	1.163113E-3	1.30E+1    	40.00     	330.71	23.2 	38.2 	6.859536E+0	1.404020E-6	1.074663E+7	1.703917E+3	-1.584037E+0	1.594783E-4	7.405524E+0	7.404226E+0
45.0    	19      	6.688777E+0	1.267527E-3	3.96E+1    	45.01     	362.56	23.2 	38.2 	6.704146E+0	1.642135E-6	1.097687E+7	1.929594E+3	-1.584943E+0	9.018500E-5	7.250287E+0	7.248836E+0
45.0    	104     	5.881511E+0	3.291282E-4	1.12E+1    	45.01     	364.86	23.2 	38.2 	5.896199E+0	1.038510E-7	1.235300E+7	6.244998E+2	-1.588990E+0	4.000000E-5	6.443021E+0	6.440889E+0
45.0    	136     	5.907219E+0	1.057570E-3	1.19E+1    	45.01     	367.44	23.2 	38.2 	5.921837E+0	1.205243E-6	1.230397E+7	2.050203E+3	-1.589247E+0	1.724336E-4	6.468729E+0	6.466527E+0
